r,similarRelation,tripleCountR,tripleCountS,jaccardScore
http://bias.org/vocab/soccer/football_team/current_roster./soccer/football_roster_position/position,http://bias.org/vocab/soccer/football_team/current_roster./sports/sports_team_roster/position,2265,2262,0.6804009
http://bias.org/vocab/soccer/football_team/current_roster./sports/sports_team_roster/position,http://bias.org/vocab/soccer/football_team/current_roster./soccer/football_roster_position/position,2262,2265,0.6804009
http://bias.org/vocab/education/educational_institution/campuses,http://bias.org/vocab/education/educational_institution_campus/educational_institution,533,526,0.670347
http://bias.org/vocab/education/educational_institution_campus/educational_institution,http://bias.org/vocab/education/educational_institution/campuses,526,533,0.670347
http://bias.org/vocab/american_football/football_team/current_roster./sports/sports_team_roster/position,http://bias.org/vocab/sports/sports_team/roster./american_football/football_roster_position/position,573,607,0.6619718
http://bias.org/vocab/sports/sports_team/roster./american_football/football_roster_position/position,http://bias.org/vocab/american_football/football_team/current_roster./sports/sports_team_roster/position,607,573,0.6619718
http://bias.org/vocab/business/business_operation/operating_income./measurement_unit/dated_money_value/currency,http://bias.org/vocab/business/business_operation/revenue./measurement_unit/dated_money_value/currency,198,215,0.64541835
http://bias.org/vocab/business/business_operation/revenue./measurement_unit/dated_money_value/currency,http://bias.org/vocab/business/business_operation/operating_income./measurement_unit/dated_money_value/currency,215,198,0.64541835
http://bias.org/vocab/olympics/olympic_games/sports,http://bias.org/vocab/user/jg/default_domain/olympic_games/sports,664,581,0.63385826
http://bias.org/vocab/user/jg/default_domain/olympic_games/sports,http://bias.org/vocab/olympics/olympic_games/sports,581,664,0.63385826
http://bias.org/vocab/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency,http://bias.org/vocab/location/statistical_region/gni_per_capita_in_ppp_dollars./measurement_unit/dated_money_value/currency,160,149,0.6263158
http://bias.org/vocab/location/statistical_region/gni_per_capita_in_ppp_dollars./measurement_unit/dated_money_value/currency,http://bias.org/vocab/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency,149,160,0.6263158
http://bias.org/vocab/business/business_operation/assets./measurement_unit/dated_money_value/currency,http://bias.org/vocab/business/business_operation/operating_income./measurement_unit/dated_money_value/currency,181,198,0.6059322
http://bias.org/vocab/business/business_operation/operating_income./measurement_unit/dated_money_value/currency,http://bias.org/vocab/business/business_operation/assets./measurement_unit/dated_money_value/currency,198,181,0.6059322
http://bias.org/vocab/sports/sports_position/players./american_football/football_historical_roster_position/position_s,http://bias.org/vocab/sports/sports_position/players./sports/sports_team_roster/position,102,125,0.59859157
http://bias.org/vocab/sports/sports_position/players./sports/sports_team_roster/position,http://bias.org/vocab/sports/sports_position/players./american_football/football_historical_roster_position/position_s,125,102,0.59859157
http://bias.org/vocab/soccer/football_player/current_team./sports/sports_team_roster/team,http://bias.org/vocab/sports/pro_athlete/teams./sports/sports_team_roster/team,536,676,0.5947368
http://bias.org/vocab/sports/pro_athlete/teams./sports/sports_team_roster/team,http://bias.org/vocab/soccer/football_player/current_team./sports/sports_team_roster/team,676,536,0.5947368
http://bias.org/vocab/business/business_operation/assets./measurement_unit/dated_money_value/currency,http://bias.org/vocab/business/business_operation/revenue./measurement_unit/dated_money_value/currency,181,215,0.584
http://bias.org/vocab/business/business_operation/revenue./measurement_unit/dated_money_value/currency,http://bias.org/vocab/business/business_operation/assets./measurement_unit/dated_money_value/currency,215,181,0.584
http://bias.org/vocab/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency,http://bias.org/vocab/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency,190,160,0.5765766
http://bias.org/vocab/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency,http://bias.org/vocab/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency,160,190,0.5765766
http://bias.org/vocab/education/university/domestic_tuition./measurement_unit/dated_money_value/currency,http://bias.org/vocab/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency,476,456,0.55074877
http://bias.org/vocab/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency,http://bias.org/vocab/education/university/domestic_tuition./measurement_unit/dated_money_value/currency,456,476,0.55074877
http://bias.org/vocab/education/university/domestic_tuition./measurement_unit/dated_money_value/currency,http://bias.org/vocab/education/university/local_tuition./measurement_unit/dated_money_value/currency,476,360,0.52554744
http://bias.org/vocab/education/university/local_tuition./measurement_unit/dated_money_value/currency,http://bias.org/vocab/education/university/domestic_tuition./measurement_unit/dated_money_value/currency,360,476,0.52554744
http://bias.org/vocab/education/university/local_tuition./measurement_unit/dated_money_value/currency,http://bias.org/vocab/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency,360,456,0.52238804
http://bias.org/vocab/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency,http://bias.org/vocab/education/university/local_tuition./measurement_unit/dated_money_value/currency,456,360,0.52238804
http://bias.org/vocab/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency,http://bias.org/vocab/location/statistical_region/gni_per_capita_in_ppp_dollars./measurement_unit/dated_money_value/currency,190,149,0.5201794
http://bias.org/vocab/location/statistical_region/gni_per_capita_in_ppp_dollars./measurement_unit/dated_money_value/currency,http://bias.org/vocab/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency,149,190,0.5201794
http://bias.org/vocab/location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency,http://bias.org/vocab/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency,220,160,0.5019763
http://bias.org/vocab/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency,http://bias.org/vocab/location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency,160,220,0.5019763
