head,relation,filteredTripleCount,tripleCount,representation
http://bias.org/entity/m/08mbj5d,http://bias.org/vocab/common/annotation_category/annotations./common/webpage/topic,3590,5927,0.6057027
http://bias.org/entity/m/04ztj,http://bias.org/vocab/people/marriage_union_type/unions_of_this_type./people/marriage/spouse,2550,2882,0.8848022
http://bias.org/entity/m/04n6k,http://bias.org/vocab/user/tsegaran/random/subject_taxonomy/entry./user/tsegaran/random/taxonomy_entry/subject,411,411,1.0
http://bias.org/entity/m/04ztj,http://bias.org/vocab/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony,405,417,0.971223
http://bias.org/entity/m/09c7w0,http://bias.org/vocab/location/country/second_level_divisions,336,464,0.7241379
http://bias.org/entity/m/02vx4,http://bias.org/vocab/sports/sport/teams,275,429,0.64102566
http://bias.org/entity/m/0147fv,http://bias.org/vocab/film/special_film_performance_type/film_performance_type./film/performance/actor,228,390,0.5846154
http://bias.org/entity/m/0ckd1,http://bias.org/vocab/tv/tv_producer_type/tv_producers_of_this_type./tv/tv_producer_term/producer,221,221,1.0
http://bias.org/entity/m/0147fv,http://bias.org/vocab/film/personal_film_appearance_type/film_appearances./film/personal_film_appearance/person,195,234,0.8333333
http://bias.org/entity/m/0ckd1,http://bias.org/vocab/tv/tv_producer_type/tv_producers_of_this_type./tv/tv_producer_term/program,119,119,1.0
http://bias.org/entity/m/085h1,http://bias.org/vocab/user/ktrueman/default_domain/international_organization/member_states,117,179,0.65363127
http://bias.org/entity/m/07_jd,http://bias.org/vocab/base/eating/diets/people_who_follow_this_diet,101,133,0.7593985
http://bias.org/entity/m/0c4ys,http://bias.org/vocab/award/award/category,88,144,0.6111111
http://bias.org/entity/m/03m6t5,http://bias.org/vocab/base/americancomedy/celebrity_impressionist/celebrities_impersonated,84,121,0.6942149
http://bias.org/entity/m/0g2c8,http://bias.org/vocab/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,79,154,0.512987
http://bias.org/entity/m/0325pb,http://bias.org/vocab/education/fraternity_sorority/colleges_and_universities,69,134,0.51492536
http://bias.org/entity/m/0c7g7,http://bias.org/vocab/protected_sites/natural_or_cultural_site_designation/sites./protected_sites/natural_or_cultural_site_listing/listed_site,57,75,0.76
http://bias.org/entity/m/03gfvsz,http://bias.org/vocab/broadcast/content/artist,52,102,0.50980395
http://bias.org/entity/m/081pw,http://bias.org/vocab/military/military_conflict/military_personnel_involved,47,77,0.6103896
http://bias.org/entity/m/09c7w0,http://bias.org/vocab/government/governmental_jurisdiction/governing_officials./government/government_position_held/district_represented,45,51,0.88235295
http://bias.org/entity/m/0cgqx,http://bias.org/vocab/government/government_office_or_title/office_holders./government/government_position_held/legislative_sessions,44,44,1.0
http://bias.org/entity/m/0147fv,http://bias.org/vocab/tv/special_tv_performance_type/starring_performances./tv/regular_tv_appearance/actor,43,80,0.5375
http://bias.org/entity/m/07t31,http://bias.org/vocab/government/governmental_body/sessions,41,46,0.8913044
http://bias.org/entity/m/07t58,http://bias.org/vocab/government/governmental_body/members./government/government_position_held/district_represented,41,75,0.5466667
http://bias.org/entity/m/02079p,http://bias.org/vocab/government/government_office_category/officeholders./government/government_position_held/legislative_sessions,40,77,0.5194805
http://bias.org/entity/m/02md_2,http://bias.org/vocab/american_football/football_coach_position/coaches_holding_this_position./american_football/football_historical_coach_position/team,38,38,1.0
http://bias.org/entity/m/07_lq,http://bias.org/vocab/food/diet/followers,38,71,0.53521127
http://bias.org/entity/m/09c7w0,http://bias.org/vocab/government/governmental_jurisdiction/governing_officials./government/government_position_held/legislative_sessions,36,37,0.972973
http://bias.org/entity/m/01gzdk,http://bias.org/vocab/user/alexbl/honorary_title/honorary_title/titled_people./user/alexbl/honorary_title/honorary_title_holding/conferred_upon,33,41,0.80487806
http://bias.org/entity/m/03nh9,http://bias.org/vocab/celebrities/sexual_orientation/celebrities./celebrities/sexual_orientation_phase/celebrity,31,42,0.7380952
http://bias.org/entity/m/04n0p,http://bias.org/vocab/language/language_writing_system/languages,29,43,0.6744186
http://bias.org/entity/m/09c7w0,http://bias.org/vocab/government/governmental_jurisdiction/governing_officials./government/government_position_held/appointed_by,28,40,0.7
http://bias.org/entity/m/0789n,http://bias.org/vocab/government/government_office_category/officeholders./government/government_position_held/appointed_by,27,48,0.5625
http://bias.org/entity/m/07y07,http://bias.org/vocab/government/government_office_or_title/office_holders./government/government_position_held/appointed_by,26,51,0.50980395
http://bias.org/entity/m/05bl7j,http://bias.org/vocab/sports/sports_award_type/winners./sports/sports_award/season,24,25,0.96
http://bias.org/entity/m/01kyvx,http://bias.org/vocab/tv/special_tv_performance_type/starring_performances./tv/regular_tv_appearance/series,21,27,0.7777778
http://bias.org/entity/m/0kpw3,http://bias.org/vocab/transportation/road/major_cities,21,21,1.0
http://bias.org/entity/m/012w3,http://bias.org/vocab/people/appointed_role/appointment./people/appointment/appointed_by,20,26,0.7692308
http://bias.org/entity/m/09c7w0,http://bias.org/vocab/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/athlete,19,36,0.5277778
http://bias.org/entity/m/03dft3,http://bias.org/vocab/user/alexander/philosophy/era/philosophers,18,19,0.94736844
http://bias.org/entity/m/09c7w0,http://bias.org/vocab/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medalist,18,29,0.62068963
http://bias.org/entity/m/0dq_5,http://bias.org/vocab/organization/role/leaders./organization/leadership/person,18,28,0.64285713
http://bias.org/entity/m/02lpp7,http://bias.org/vocab/olympics/olympic_medal/medal_winners./olympics/olympic_medal_honor/medalist,17,32,0.53125
http://bias.org/entity/m/03v09,http://bias.org/vocab/language/language_family/languages,17,22,0.77272725
http://bias.org/entity/m/04zpv,http://bias.org/vocab/location/symbol_of_administrative_division/official_symbol_of./location/location_symbol_relationship/administrative_division,16,19,0.84210527
http://bias.org/entity/m/05zppz,http://bias.org/vocab/fictional_universe/character_gender/characters_of_this_gender,16,19,0.84210527
http://bias.org/entity/m/01r9nk,http://bias.org/vocab/aviation/airport/airlines./aviation/airline_airport_presence/cities_served,14,26,0.53846157
http://bias.org/entity/m/02rlzj,http://bias.org/vocab/base/americancomedy/comedy_group/members./base/americancomedy/comedy_group_membership/member,14,19,0.7368421
http://bias.org/entity/m/0c41qv,http://bias.org/vocab/film/film_company/films./film/film_film_company_relationship/film,14,14,1.0
http://bias.org/entity/m/0dn_w,http://bias.org/vocab/travel/transport_operator/travel_destinations_served./travel/transportation/travel_destination,14,15,0.93333334
http://bias.org/entity/m/08mbj5d,http://bias.org/vocab/common/annotation_category/annotations,13,13,1.0
http://bias.org/entity/m/0d1_f,http://bias.org/vocab/royalty/monarch/kingdom,13,19,0.68421054
http://bias.org/entity/m/02jp2w,http://bias.org/vocab/sports/sports_championship/events,12,12,1.0
http://bias.org/entity/m/06mv6,http://bias.org/vocab/fictional_universe/fictional_universe/works_set_here,12,19,0.6315789
http://bias.org/entity/m/0_5w_,http://bias.org/vocab/base/fight/crime_type/people_convicted_of_this_crime./base/crime/criminal_conviction/convicted_person,12,17,0.7058824
http://bias.org/entity/m/0h69c,http://bias.org/vocab/baseball/baseball_league/teams,12,12,1.0
http://bias.org/entity/m/018c_r,http://bias.org/vocab/base/popstra/restaurant/restaurant_choice./base/popstra/restaurant_choice/diner,11,19,0.57894737
http://bias.org/entity/m/01_lh1,http://bias.org/vocab/base/bioventurist/science_or_technology_company/develops_treatments_for_disease,11,18,0.6111111
http://bias.org/entity/m/04y652m,http://bias.org/vocab/broadcast/radio_station/format,11,12,0.9166667
http://bias.org/entity/m/0265vt,http://bias.org/vocab/award/award_category/long_lists./award/long_list_nomination/nominee,10,10,1.0
http://bias.org/entity/m/02hjn4,http://bias.org/vocab/cvg/gameplay_mode/games_with_this_mode,10,17,0.5882353
http://bias.org/entity/m/02ryvsw,http://bias.org/vocab/tv/tv_program/episodes,10,12,0.8333333
http://bias.org/entity/m/04y652m,http://bias.org/vocab/broadcast/content/genre,10,14,0.71428573
http://bias.org/entity/m/012hw,http://bias.org/vocab/base/fight/crime_type/victims_of_this_crime_type,9,9,1.0
http://bias.org/entity/m/02gsvk,http://bias.org/vocab/finance/currency/countries_formerly_used,9,10,0.9
http://bias.org/entity/m/09c7w0,http://bias.org/vocab/government/governmental_jurisdiction/agencies,9,15,0.6
http://bias.org/entity/m/015cjr,http://bias.org/vocab/tv/tv_character/appeared_in_tv_episodes./tv/tv_guest_role/actor,8,10,0.8
http://bias.org/entity/m/020v2,http://bias.org/vocab/base/argumentmaps/abstract_moral_dispute/particular_instances,8,9,0.8888889
http://bias.org/entity/m/04kcn,http://bias.org/vocab/geography/lake/cities,8,15,0.53333336
http://bias.org/entity/m/05pb534,http://bias.org/vocab/base/crime/crime/victim_s,8,8,1.0
http://bias.org/entity/m/06nbt,http://bias.org/vocab/base/americancomedy/comedy_genre/comedians_in_this_genre,8,12,0.6666667
http://bias.org/entity/m/0lwkh,http://bias.org/vocab/base/popstra/company/fashion_choice./base/popstra/fashion_choice/fashion_wearer,8,11,0.72727275
http://bias.org/entity/m/0245zn,http://bias.org/vocab/protected_sites/site_listing_category/listed_sites./protected_sites/natural_or_cultural_site_listing/listed_site,7,7,1.0
http://bias.org/entity/m/02q8x4x,http://bias.org/vocab/cvg/computer_videogame/subjects,7,7,1.0
http://bias.org/entity/m/043ttv,http://bias.org/vocab/venture_capital/venture_investor/investments./venture_capital/venture_investment/company,7,13,0.53846157
http://bias.org/entity/m/04rjg,http://bias.org/vocab/user/coco/science/concepts_theories/child_concept,7,11,0.6363636
http://bias.org/entity/m/05khh,http://bias.org/vocab/computer/software_genre/software_in_genre,7,7,1.0
http://bias.org/entity/m/0hhbr,http://bias.org/vocab/architecture/type_of_museum/museums,7,7,1.0
http://bias.org/entity/m/01j7pt,http://bias.org/vocab/broadcast/broadcast/area_served,6,11,0.54545456
http://bias.org/entity/m/01kyvx,http://bias.org/vocab/tv/special_tv_performance_type/starring_performances./tv/regular_tv_appearance/character,6,6,1.0
http://bias.org/entity/m/02wvdvn,http://bias.org/vocab/base/contractbridge/bridge_tournament/standing./base/contractbridge/bridge_tournament_standings/first_place,6,6,1.0
http://bias.org/entity/m/045m1_,http://bias.org/vocab/religion/deity/deity_of,6,6,1.0
http://bias.org/entity/m/015j7,http://bias.org/vocab/religion/religious_text/religious_text_of,5,5,1.0
http://bias.org/entity/m/01kyvx,http://bias.org/vocab/film/special_film_performance_type/film_performance_type./film/performance/character,5,8,0.625
http://bias.org/entity/m/0290vf,http://bias.org/vocab/royalty/noble_title/holders./royalty/noble_title_tenure/noble_person,5,5,1.0
http://bias.org/entity/m/02xb2,http://bias.org/vocab/base/events/type_of_festival/recurring_festivals_of_this_type,5,5,1.0
http://bias.org/entity/m/06mmr,http://bias.org/vocab/film/film_series/films_in_series,5,5,1.0
http://bias.org/entity/m/06npx,http://bias.org/vocab/geography/geographical_feature_category/features,5,8,0.625
http://bias.org/entity/m/07_hy,http://bias.org/vocab/food/dietary_restriction/incompatible_ingredients,5,8,0.625
http://bias.org/entity/m/07k2d,http://bias.org/vocab/book/newspaper/circulation_areas,5,5,1.0
http://bias.org/entity/m/0kc9f,http://bias.org/vocab/internet/website/category,5,5,1.0
http://bias.org/entity/m/0147fv,http://bias.org/vocab/film/personal_film_appearance_type/film_appearances./film/personal_film_appearance/film,4,5,0.8
http://bias.org/entity/m/020qr4,http://bias.org/vocab/base/schemastaging/tv_program_extra/regular_dubbing_performances./base/schemastaging/tv_star_dubbing_performance/character,4,5,0.8
http://bias.org/entity/m/02rc4d,http://bias.org/vocab/film/film_character/portrayed_in_films_dubbed./film/dubbing_performance/film,4,5,0.8
http://bias.org/entity/m/02wvdvn,http://bias.org/vocab/base/contractbridge/bridge_tournament/standing./base/contractbridge/bridge_tournament_standings/second_place,4,4,1.0
http://bias.org/entity/m/03qch2w,http://bias.org/vocab/medicine/type_of_infectious_agent/diseases,4,7,0.5714286
http://bias.org/entity/m/0464pz,http://bias.org/vocab/tv/tv_program/regular_cast./tv/regular_tv_appearance/seasons,4,5,0.8
http://bias.org/entity/m/0464pz,http://bias.org/vocab/tv/tv_program/seasons,4,5,0.8
http://bias.org/entity/m/04sv4,http://bias.org/vocab/computer/operating_system_developer/operating_systems_developed,4,6,0.6666667
http://bias.org/entity/m/06p5g,http://bias.org/vocab/astronomy/star_system/planetary_system,4,4,1.0
http://bias.org/entity/m/07bz5,http://bias.org/vocab/book/written_work/subjects,4,6,0.6666667
http://bias.org/entity/m/0bt9lr,http://bias.org/vocab/biology/organism_classification/lower_classifications,4,4,1.0
http://bias.org/entity/m/0dgw9r,http://bias.org/vocab/fictional_universe/character_species/characters_of_this_species,4,5,0.8
http://bias.org/entity/m/0g5lhl7,http://bias.org/vocab/broadcast/tv_station_owner/tv_stations,4,5,0.8
http://bias.org/entity/m/0ljl8,http://bias.org/vocab/biology/breed_registry/recognized_breeds./biology/breed_registration/breed,4,4,1.0
http://bias.org/entity/m/0137k8,http://bias.org/vocab/aviation/aircraft_model/number_owned_by./aviation/aircraft_ownership_count/aircraft_owner,3,4,0.75
http://bias.org/entity/m/017l66,http://bias.org/vocab/base/yalebase/secret_society/notable_members./base/yalebase/secret_society_membership/member,3,5,0.6
http://bias.org/entity/m/01q_ks,http://bias.org/vocab/comic_books/comic_book_fictional_universe/characters_primarily_appearing_in_this_universe,3,4,0.75
http://bias.org/entity/m/027dcbn,http://bias.org/vocab/theater/theater_character/portrayed_by./theater/theater_role/actor,3,5,0.6
http://bias.org/entity/m/02y8bn,http://bias.org/vocab/ice_hockey/hockey_player/former_team_s./sports/sports_team_roster/team,3,4,0.75
http://bias.org/entity/m/02y8bn,http://bias.org/vocab/sports/pro_athlete/teams./ice_hockey/hockey_previous_roster_position/team,3,3,1.0
http://bias.org/entity/m/038c0q,http://bias.org/vocab/sports/sports_league_draft/picks./sports/sports_league_draft_pick/player,3,4,0.75
http://bias.org/entity/m/047mtnd,http://bias.org/vocab/tv/tv_series_episode/producers./tv/tv_producer_episode_credit/producer,3,3,1.0
http://bias.org/entity/m/04sv4,http://bias.org/vocab/computer/software_developer/software,3,5,0.6
http://bias.org/entity/m/06b1q,http://bias.org/vocab/user/szaijan/fantasy_football/position/player,3,3,1.0
http://bias.org/entity/m/06ntj,http://bias.org/vocab/award/hall_of_fame_discipline/halls_of_fame,3,5,0.6
http://bias.org/entity/m/07bz5,http://bias.org/vocab/book/book/genre,3,5,0.6
http://bias.org/entity/m/07gyp7,http://bias.org/vocab/dining/restaurant/cuisine,3,4,0.75
http://bias.org/entity/m/08b26_,http://bias.org/vocab/fictional_universe/fictional_universe/characters,3,5,0.6
http://bias.org/entity/m/0bt9lr,http://bias.org/vocab/biology/domesticated_animal/breeds,3,4,0.75
http://bias.org/entity/m/0fj9f,http://bias.org/vocab/base/onephylogeny/type_of_thing/things_of_this_type,3,5,0.6
http://bias.org/entity/m/0kpw3,http://bias.org/vocab/transportation/road/end2./transportation/road_starting_point/location,3,3,1.0
http://bias.org/entity/m/01s5q,http://bias.org/vocab/base/fight/sentence/convictions./base/crime/criminal_conviction/convicted_person,2,2,1.0
http://bias.org/entity/m/0265rtm,http://bias.org/vocab/base/petbreeds/dog_breed_group/dog_breeds,2,2,1.0
http://bias.org/entity/m/0265rtm,http://bias.org/vocab/biology/breed_group/breeds_in_this_group./biology/breed_registration/breed,2,2,1.0
http://bias.org/entity/m/02h40lc,http://bias.org/vocab/language/human_language/dialects,2,2,1.0
http://bias.org/entity/m/034qg,http://bias.org/vocab/interests/collection_category/sub_categories,2,3,0.6666667
http://bias.org/entity/m/035p3,http://bias.org/vocab/transportation/bridge/bridge_type,2,2,1.0
http://bias.org/entity/m/035p3,http://bias.org/vocab/transportation/bridge/locale,2,2,1.0
http://bias.org/entity/m/037ls6,http://bias.org/vocab/food/ingredient/cuisine,2,3,0.6666667
http://bias.org/entity/m/03k3r,http://bias.org/vocab/award/hall_of_fame_induction_category/inductees./award/hall_of_fame_induction/inductee,2,2,1.0
http://bias.org/entity/m/03pnvq,http://bias.org/vocab/comic_books/comic_book_publisher/comic_book_series_published,2,3,0.6666667
http://bias.org/entity/m/04sv4,http://bias.org/vocab/business/consumer_company/products./business/company_product_relationship/consumer_product,2,3,0.6666667
http://bias.org/entity/m/051pnv,http://bias.org/vocab/cvg/cvg_developer/games_developed,2,3,0.6666667
http://bias.org/entity/m/06m_p,http://bias.org/vocab/astronomy/orbital_relationship/orbited_by,2,3,0.6666667
http://bias.org/entity/m/06rkl,http://bias.org/vocab/fictional_universe/fictional_character/ethnicity,2,3,0.6666667
http://bias.org/entity/m/06y7d,http://bias.org/vocab/education/academic/appointments_fellowships_etc./education/academic_post/institution,2,2,1.0
http://bias.org/entity/m/07hn5,http://bias.org/vocab/award/recurring_competition/individual_competitions,2,2,1.0
http://bias.org/entity/m/07k2d,http://bias.org/vocab/base/endorsements/endorsing_newspaper/endorsements./base/endorsements/newspaper_endorsement/endorsee,2,2,1.0
http://bias.org/entity/m/07k2d,http://bias.org/vocab/book/newspaper/headquarters./location/mailing_address/citytown,2,2,1.0
http://bias.org/entity/m/07t31,http://bias.org/vocab/government/governmental_body/component_bodies,2,3,0.6666667
