head,relation,filteredTripleCount,tripleCount,representation
http://bias.org/entity/m/09rdns,http://bias.org/vocab/cvg/computer_videogame/developer,2,3,0.6666667
http://bias.org/entity/m/0c0ygc,http://bias.org/vocab/base/thoroughbredracing/thoroughbred_racehorse_sex/horses_of_this_sex,2,2,1.0
http://bias.org/entity/m/0cgqx,http://bias.org/vocab/government/government_office_or_title/governmental_body_if_any,2,3,0.6666667
http://bias.org/entity/m/0cqt41,http://bias.org/vocab/baseball/baseball_team/current_roster./baseball/baseball_roster_position/player,2,2,1.0
http://bias.org/entity/m/0cqt41,http://bias.org/vocab/baseball/baseball_team/current_roster./sports/sports_team_roster/player,2,2,1.0
http://bias.org/entity/m/0cqt41,http://bias.org/vocab/sports/sports_team/roster./baseball/baseball_roster_position/player,2,2,1.0
http://bias.org/entity/m/0cv72h,http://bias.org/vocab/american_football/football_player/receiving./american_football/player_receiving_statistics/team,2,2,1.0
http://bias.org/entity/m/0gfzfj,http://bias.org/vocab/tv/tv_series_episode/writer,2,3,0.6666667
http://bias.org/entity/m/0kr7k,http://bias.org/vocab/cvg/cvg_designer/games_designed,2,2,1.0
http://bias.org/entity/m/0sxdg,http://bias.org/vocab/internet/website_owner/websites_owned_new./internet/website_ownership/website,2,3,0.6666667
http://bias.org/entity/m/013km,http://bias.org/vocab/comic_books/comic_book_creator/series_created,1,1,1.0
http://bias.org/entity/m/014bmh,http://bias.org/vocab/base/disaster2/tactic/attacks_of_this_form./base/disaster2/attack_process/attack_event,1,1,1.0
http://bias.org/entity/m/014hr0,http://bias.org/vocab/music/conducted_ensemble/conductors./music/conducting_tenure/conductor,1,1,1.0
http://bias.org/entity/m/015dvh,http://bias.org/vocab/protected_sites/governing_body_of_protected_sites/protected_sites_governed,1,1,1.0
http://bias.org/entity/m/015dxd,http://bias.org/vocab/cvg/game_character/games./cvg/game_performance/voice_actor,1,1,1.0
http://bias.org/entity/m/015ll,http://bias.org/vocab/games/game_genre/boardgames,1,1,1.0
http://bias.org/entity/m/01713c,http://bias.org/vocab/base/rugby/rugby_player/type_of_rugby,1,1,1.0
http://bias.org/entity/m/0178g,http://bias.org/vocab/aviation/aircraft_manufacturer/aircraft_models_made,1,1,1.0
http://bias.org/entity/m/0195fx,http://bias.org/vocab/metropolitan_transit/transit_service_type/transit_lines,1,1,1.0
http://bias.org/entity/m/01dv4h,http://bias.org/vocab/visual_art/visual_art_genre/artworks,1,1,1.0
http://bias.org/entity/m/01j6t0,http://bias.org/vocab/medicine/symptom/side_effect_of,1,1,1.0
http://bias.org/entity/m/01k3tq,http://bias.org/vocab/base/petbreeds/dog_breed/color,1,1,1.0
http://bias.org/entity/m/01t032,http://bias.org/vocab/biology/animal_breed/registered_with./biology/breed_registration/breed_group,1,1,1.0
http://bias.org/entity/m/01t6b,http://bias.org/vocab/computer/programming_language/dialects,1,1,1.0
http://bias.org/entity/m/01vrlqd,http://bias.org/vocab/base/collectives/collective/members./base/collectives/collective_membership/member,1,1,1.0
http://bias.org/entity/m/01vrlr4,http://bias.org/vocab/base/collectives/collective_member/member_of./base/collectives/collective_membership/collective,1,1,1.0
http://bias.org/entity/m/01x2_q,http://bias.org/vocab/ice_hockey/hockey_player/current_team./sports/sports_team_roster/team,1,1,1.0
http://bias.org/entity/m/01xyt7,http://bias.org/vocab/american_football/football_player/current_team./american_football/football_roster_position/position,1,1,1.0
http://bias.org/entity/m/01xyt7,http://bias.org/vocab/american_football/football_player/current_team./american_football/football_roster_position/team,1,1,1.0
http://bias.org/entity/m/01xyt7,http://bias.org/vocab/american_football/football_player/current_team./sports/sports_team_roster/team,1,1,1.0
http://bias.org/entity/m/01xyt7,http://bias.org/vocab/sports/pro_athlete/teams./american_football/football_roster_position/position,1,1,1.0
http://bias.org/entity/m/01xyt7,http://bias.org/vocab/sports/pro_athlete/teams./american_football/football_roster_position/team,1,1,1.0
http://bias.org/entity/m/0226cw,http://bias.org/vocab/user/robert/us_congress/us_representative/committee_memberships,1,1,1.0
http://bias.org/entity/m/022tzk,http://bias.org/vocab/architecture/structure/owner./architecture/ownership/owner,1,1,1.0
http://bias.org/entity/m/024jvz,http://bias.org/vocab/government/election/office,1,1,1.0
http://bias.org/entity/m/025s7j4,http://bias.org/vocab/medicine/medical_treatment/side_effects,1,1,1.0
http://bias.org/entity/m/025tkqy,http://bias.org/vocab/medicine/drug/drug_class,1,1,1.0
http://bias.org/entity/m/025tkqy,http://bias.org/vocab/medicine/drug_class/drugs,1,1,1.0
http://bias.org/entity/m/026_51,http://bias.org/vocab/base/folklore/mythology/mythical_creatures,1,1,1.0
http://bias.org/entity/m/0276krm,http://bias.org/vocab/base/petbreeds/dog_coat_color/dog_breeds,1,1,1.0
http://bias.org/entity/m/0290vf,http://bias.org/vocab/royalty/noble_title/noble_rank,1,1,1.0
http://bias.org/entity/m/0294jb,http://bias.org/vocab/base/fashionmodels/hair_color/fashion_models_with_this_hair_color,1,1,1.0
http://bias.org/entity/m/02md_2,http://bias.org/vocab/american_football/football_coach_position/coaches_holding_this_position./american_football/football_historical_coach_position/coach,1,1,1.0
http://bias.org/entity/m/02q8x4x,http://bias.org/vocab/cvg/computer_videogame/game_series,1,1,1.0
http://bias.org/entity/m/02qvl7,http://bias.org/vocab/ice_hockey/hockey_position/players,1,1,1.0
http://bias.org/entity/m/02qvl7,http://bias.org/vocab/sports/sports_position/players./ice_hockey/hockey_roster_position/player,1,1,1.0
http://bias.org/entity/m/02r38,http://bias.org/vocab/music/conductor/groups./music/conducting_tenure/ensemble,1,1,1.0
http://bias.org/entity/m/02rc4d,http://bias.org/vocab/comic_books/comic_book_character/regular_featured_appearances,1,1,1.0
http://bias.org/entity/m/02sjgpq,http://bias.org/vocab/architecture/architectural_structure_owner/structures_owned./architecture/ownership/structure,1,1,1.0
http://bias.org/entity/m/02vxy_,http://bias.org/vocab/religion/religious_organization/leaders./religion/religious_organization_leadership/leader,1,1,1.0
http://bias.org/entity/m/02wszf,http://bias.org/vocab/sports/sports_position/players./baseball/baseball_roster_position/player,1,1,1.0
http://bias.org/entity/m/02y8bn,http://bias.org/vocab/ice_hockey/hockey_player/current_team./ice_hockey/hockey_roster_position/position,1,1,1.0
http://bias.org/entity/m/02y8bn,http://bias.org/vocab/ice_hockey/hockey_player/current_team./sports/sports_team_roster/position,1,1,1.0
http://bias.org/entity/m/02y8bn,http://bias.org/vocab/ice_hockey/hockey_player/hockey_position,1,1,1.0
http://bias.org/entity/m/02y8bn,http://bias.org/vocab/sports/pro_athlete/teams./ice_hockey/hockey_roster_position/position,1,1,1.0
http://bias.org/entity/m/030wsj,http://bias.org/vocab/base/thoroughbredracing/thoroughbred_racehorse/color,1,1,1.0
http://bias.org/entity/m/030wsj,http://bias.org/vocab/biology/organism/organism_type,1,1,1.0
http://bias.org/entity/m/035p3,http://bias.org/vocab/architecture/structure/construction_cost./measurement_unit/money_value/currency,1,1,1.0
http://bias.org/entity/m/0382k,http://bias.org/vocab/user/tsegaran/computer/algorithm/family,1,1,1.0
http://bias.org/entity/m/0382k,http://bias.org/vocab/user/tsegaran/computer/algorithm_family/algorithm,1,1,1.0
http://bias.org/entity/m/038csl,http://bias.org/vocab/education/school_district/locations_served,1,1,1.0
http://bias.org/entity/m/038csl,http://bias.org/vocab/education/school_district/schools,1,1,1.0
http://bias.org/entity/m/03cz4j,http://bias.org/vocab/cvg/game_voice_actor/computer_game_voice_performances./cvg/game_performance/game,1,1,1.0
http://bias.org/entity/m/03czqs,http://bias.org/vocab/travel/travel_destination/local_transportation,1,1,1.0
http://bias.org/entity/m/03gk2,http://bias.org/vocab/royalty/system_of_nobility/titles./royalty/system_title_relationship/title,1,1,1.0
http://bias.org/entity/m/03j5zb,http://bias.org/vocab/base/infrastructure/power_plant_type/power_station,1,1,1.0
http://bias.org/entity/m/03j79x,http://bias.org/vocab/sports/sports_team/arena_stadium,1,1,1.0
http://bias.org/entity/m/03k3r,http://bias.org/vocab/biology/organism_classification/organisms_of_this_type,1,1,1.0
http://bias.org/entity/m/03kvj3,http://bias.org/vocab/book/literary_series/author_s,1,1,1.0
http://bias.org/entity/m/03pcnt,http://bias.org/vocab/base/thoroughbredracing/thoroughbred_racehorse_color/horses_of_this_color,1,1,1.0
http://bias.org/entity/m/04093,http://bias.org/vocab/book/author/series_written_or_contributed_to,1,1,1.0
http://bias.org/entity/m/042g2h,http://bias.org/vocab/base/ecology/ecosystem/ecosystem_members,1,1,1.0
http://bias.org/entity/m/042g2h,http://bias.org/vocab/base/ecology/food_web_member/belongs_to_ecosystem_s,1,1,1.0
http://bias.org/entity/m/045m1_,http://bias.org/vocab/base/crime/convicted_criminal/convictions./base/crime/criminal_conviction/sentence_type,1,1,1.0
http://bias.org/entity/m/0461wt,http://bias.org/vocab/visual_art/artwork/art_form,1,1,1.0
http://bias.org/entity/m/0461wt,http://bias.org/vocab/visual_art/artwork/art_genre,1,1,1.0
http://bias.org/entity/m/0461wt,http://bias.org/vocab/visual_art/artwork/art_subject,1,1,1.0
http://bias.org/entity/m/047mtnd,http://bias.org/vocab/tv/tv_series_episode/guest_personal_appearances./tv/tv_guest_personal_appearance/person,1,1,1.0
http://bias.org/entity/m/04gdr,http://bias.org/vocab/exhibitions/exhibition_venue/exhibitions_at_this_venue./exhibitions/exhibition_run/sponsor,1,1,1.0
http://bias.org/entity/m/04kdn,http://bias.org/vocab/geography/lake/lake_type,1,1,1.0
http://bias.org/entity/m/04n3l,http://bias.org/vocab/fictional_universe/fictional_setting/fictional_characters_born_here,1,1,1.0
http://bias.org/entity/m/04sv4,http://bias.org/vocab/computer/programming_language_designer/languages_designed,1,1,1.0
http://bias.org/entity/m/05f4p,http://bias.org/vocab/spaceflight/space_agency/astronauts,1,1,1.0
http://bias.org/entity/m/05fly,http://bias.org/vocab/base/infrastructure/power_station/fuel_type,1,1,1.0
http://bias.org/entity/m/05g3b,http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/player,1,1,1.0
http://bias.org/entity/m/05g3b,http://bias.org/vocab/american_football/football_team/current_roster./sports/sports_team_roster/player,1,1,1.0
http://bias.org/entity/m/05g3b,http://bias.org/vocab/sports/sports_team/roster./american_football/football_roster_position/player,1,1,1.0
http://bias.org/entity/m/05gz5,http://bias.org/vocab/protected_sites/iucn_category/protected_areas,1,1,1.0
http://bias.org/entity/m/05h4fjx,http://bias.org/vocab/fictional_universe/fictional_character/parents,1,1,1.0
http://bias.org/entity/m/05l71,http://bias.org/vocab/american_football/football_team/historical_coaching_staff./american_football/football_historical_coach_position/coach,1,1,1.0
http://bias.org/entity/m/05t2fh4,http://bias.org/vocab/music/concert_tour/artist,1,1,1.0
http://bias.org/entity/m/05wkw,http://bias.org/vocab/visual_art/visual_art_form/artworks,1,1,1.0
http://bias.org/entity/m/060_7,http://bias.org/vocab/base/patronage/client/related_patron./base/patronage/patron_client_relationship/patron,1,1,1.0
http://bias.org/entity/m/066kp,http://bias.org/vocab/computer/computer/compatible_oses./computer/os_compatibility/operating_system,1,1,1.0
http://bias.org/entity/m/06by7v,http://bias.org/vocab/geography/lake_type/lakes_of_this_type,1,1,1.0
http://bias.org/entity/m/06fsr,http://bias.org/vocab/theater/play/country_of_origin,1,1,1.0
http://bias.org/entity/m/06fsr,http://bias.org/vocab/theater/play/lyricist,1,1,1.0
http://bias.org/entity/m/06g4_,http://bias.org/vocab/tv/tv_program_guest/appeared_on./tv/tv_guest_personal_appearance/episode,1,1,1.0
http://bias.org/entity/m/06rzwx,http://bias.org/vocab/aviation/airliner_accident/flight_destination,1,1,1.0
http://bias.org/entity/m/06x4c,http://bias.org/vocab/food/ingredient/dishes,1,1,1.0
http://bias.org/entity/m/06xpp7,http://bias.org/vocab/education/school/school_district,1,1,1.0
http://bias.org/entity/m/071t0,http://bias.org/vocab/sports/sport/related_equipment,1,1,1.0
http://bias.org/entity/m/075npt,http://bias.org/vocab/cvg/game_voice_actor/computer_game_voice_performances./cvg/game_performance/character,1,1,1.0
http://bias.org/entity/m/07657k,http://bias.org/vocab/computer/programming_language/language_designers,1,1,1.0
http://bias.org/entity/m/07k2d,http://bias.org/vocab/base/endorsements/endorsing_newspaper/endorsements./base/endorsements/newspaper_endorsement/election,1,1,1.0
http://bias.org/entity/m/07k2d,http://bias.org/vocab/book/newspaper/headquarters./location/mailing_address/state_province_region,1,1,1.0
http://bias.org/entity/m/07k2d,http://bias.org/vocab/book/newspaper/owner,1,1,1.0
http://bias.org/entity/m/07k2d,http://bias.org/vocab/book/periodical/publisher./book/periodical_publisher_period/publisher,1,1,1.0
http://bias.org/entity/m/07kb5,http://bias.org/vocab/religion/religious_leader/religious_leadership./religion/religious_organization_leadership/organization,1,1,1.0
http://bias.org/entity/m/07l1c,http://bias.org/vocab/book/newspaper_owner/newspapers_owned,1,1,1.0
http://bias.org/entity/m/07l1c,http://bias.org/vocab/book/periodical_publisher/periodicals_published./book/periodical_publisher_period/periodical,1,1,1.0
http://bias.org/entity/m/07sz1,http://bias.org/vocab/law/court/judges./law/judicial_tenure/judge,1,1,1.0
http://bias.org/entity/m/07v5q,http://bias.org/vocab/user/tfmorris/default_domain/document/signatories,1,1,1.0
http://bias.org/entity/m/07yjb,http://bias.org/vocab/base/folklore/mythical_creature/mythology,1,1,1.0
http://bias.org/entity/m/081k8,http://bias.org/vocab/theater/theatrical_lyricist/play_lyrics_written,1,1,1.0
http://bias.org/entity/m/083pr,http://bias.org/vocab/law/judge/courts./law/judicial_tenure/court,1,1,1.0
http://bias.org/entity/m/08b26_,http://bias.org/vocab/cvg/game_series/games_in_series,1,1,1.0
http://bias.org/entity/m/09hz7t,http://bias.org/vocab/sports/multi_event_tournament/sports,1,1,1.0
http://bias.org/entity/m/0bm39zf,http://bias.org/vocab/common/resource/annotations./common/webpage/category,1,1,1.0
http://bias.org/entity/m/0bvqq,http://bias.org/vocab/architecture/structure/architect,1,1,1.0
http://bias.org/entity/m/0c_md_,http://bias.org/vocab/people/appointee/position./people/appointment/appointed_by,1,1,1.0
http://bias.org/entity/m/0cc65,http://bias.org/vocab/base/usnationalparks/us_national_park/state,1,1,1.0
http://bias.org/entity/m/0cc65,http://bias.org/vocab/protected_sites/protected_site/iucn_category,1,1,1.0
http://bias.org/entity/m/0cq7tx,http://bias.org/vocab/film/film_featured_song/performed_by,1,1,1.0
http://bias.org/entity/m/0cv72h,http://bias.org/vocab/american_football/football_player/receiving./american_football/player_receiving_statistics/season,1,1,1.0
http://bias.org/entity/m/0cxn2,http://bias.org/vocab/food/dish/ingredients,1,1,1.0
http://bias.org/entity/m/0d060g,http://bias.org/vocab/base/thoroughbredracing/thoroughbred_racehorse_origin/horses_from_this_location,1,1,1.0
http://bias.org/entity/m/0d10d,http://bias.org/vocab/base/schemastaging/fish/found_in,1,1,1.0
http://bias.org/entity/m/0d6nx,http://bias.org/vocab/sports/sports_facility/teams,1,1,1.0
http://bias.org/entity/m/0d_wr7,http://bias.org/vocab/fictional_universe/fictional_character/children,1,1,1.0
http://bias.org/entity/m/0df9z,http://bias.org/vocab/royalty/noble_title/used_in./royalty/system_title_relationship/system,1,1,1.0
http://bias.org/entity/m/0dhz0,http://bias.org/vocab/aviation/aircraft_type/aircraft_of_this_type,1,1,1.0
http://bias.org/entity/m/0dn_w,http://bias.org/vocab/metropolitan_transit/transit_system/area_served,1,1,1.0
http://bias.org/entity/m/0dq_5,http://bias.org/vocab/fictional_universe/character_rank/characters_of_this_rank,1,1,1.0
http://bias.org/entity/m/0dx97,http://bias.org/vocab/architecture/architect/structures_designed,1,1,1.0
http://bias.org/entity/m/0flw86,http://bias.org/vocab/religion/religion/places_of_worship,1,1,1.0
http://bias.org/entity/m/0frmb1,http://bias.org/vocab/american_football/football_coach/coaching_history./american_football/football_historical_coach_position/position,1,1,1.0
http://bias.org/entity/m/0frmb1,http://bias.org/vocab/american_football/football_coach/coaching_history./american_football/football_historical_coach_position/team,1,1,1.0
http://bias.org/entity/m/0hn2q,http://bias.org/vocab/sports/sports_team/roster./ice_hockey/hockey_roster_position/player,1,1,1.0
http://bias.org/entity/m/0hnws,http://bias.org/vocab/fictional_universe/fictional_character/place_of_birth,1,1,1.0
http://bias.org/entity/m/0hnws,http://bias.org/vocab/fictional_universe/fictional_character/rank,1,1,1.0
http://bias.org/entity/m/0hqly,http://bias.org/vocab/martial_arts/martial_artist/martial_art,1,1,1.0
http://bias.org/entity/m/0hsph,http://bias.org/vocab/award/hall_of_fame_inductee/hall_of_fame_inductions./award/hall_of_fame_induction/category,1,1,1.0
http://bias.org/entity/m/0hsph,http://bias.org/vocab/base/thoroughbredracing/thoroughbred_racehorse/country,1,1,1.0
http://bias.org/entity/m/0hsph,http://bias.org/vocab/base/thoroughbredracing/thoroughbred_racehorse/sex,1,1,1.0
http://bias.org/entity/m/0j4sj,http://bias.org/vocab/book/periodical_format/periodicals_in_this_format./book/periodical_format_period/periodical,1,1,1.0
http://bias.org/entity/m/0jgqg,http://bias.org/vocab/computer/programming_language/parent_language,1,1,1.0
http://bias.org/entity/m/0jnng,http://bias.org/vocab/ice_hockey/hockey_team/current_roster./sports/sports_team_roster/player,1,1,1.0
http://bias.org/entity/m/0k2dm,http://bias.org/vocab/comic_books/comic_book_series/created_by,1,1,1.0
http://bias.org/entity/m/0k8z,http://bias.org/vocab/common/webpage/topic,1,1,1.0
http://bias.org/entity/m/0kpw3,http://bias.org/vocab/transportation/road/end1./transportation/road_starting_point/location,1,1,1.0
http://bias.org/entity/m/0l14gg,http://bias.org/vocab/music/album_release_type/albums,1,1,1.0
http://bias.org/entity/m/0m_sb,http://bias.org/vocab/metropolitan_transit/transit_line/service_type,1,1,1.0
http://bias.org/entity/m/0pf3k,http://bias.org/vocab/base/patronage/patron/related_client./base/patronage/patron_client_relationship/client,1,1,1.0
